"catId";"nome";"createdAt";"updatedAt";"deletedAt"
1;"games";"2024-01-09 21:04:36";"2024-01-09 21:04:36";""
2;"natureza";"2024-01-10 21:03:54";"2024-01-10 21:03:54";""
